epoch,blockNumber,strikeIndex,strike,amount,txType,premium,purchaseFee,netPnl,collateralTokenWithdrawAmount,rewardTokenWithdrawAmounts_DPX,rewardTokenWithdrawAmounts_JONES
6,29363476,0,26000000000,2000000000000000,0,0,0,0,2025135907819267,3092368828717,773092207179416
6,29363539,0,26000000000,1000000000000000,0,0,0,0,1012567584810504,1545991119639,386497779910010
6,29363567,0,26000000000,10000000000000000,0,0,0,0,10125709064513222,15459040650747,3864760162686447
6,29364449,0,26000000000,1000000000000000,0,0,0,0,1012567584810504,1543420625104,385855156276277
6,29412800,0,26000000000,8999990000000000,0,0,0,0,9113124710464364,12789239041825,3197309760456168
6,29416540,0,26000000000,1000000000000000,0,0,0,0,1012567584810504,1413131150059,353282787515047
6,29437991,0,26000000000,1000000000000000,0,0,0,0,1012567584810504,1367828822250,341957205562625
6,29462762,0,26000000000,2000000000000000,0,0,0,0,2013970710956456,2580738672243,645184668060769
6,29464178,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,12836498024299,3209124506074536
6,29485473,0,26000000000,4990000000000000000,0,0,0,0,5057995719452145784,6054735953389878,1513683988347123484
6,29506885,0,26000000000,100000000000000,0,0,0,0,100698282578831,114412945934,28603236483569
6,29539888,3,38000000000,30000000000000000000,0,0,0,0,30000000000000000000,31823960623098900,7955990155772411160
6,29609231,0,26000000000,35999990000000000,0,0,0,0,36253092363373115,33446032844958,8361508211236749
6,29616383,0,26000000000,500000000000000,0,0,0,0,503491679179144,451635410884,112908852721349
6,29656176,0,26000000000,1000000000000000,0,0,0,0,1006984024088211,769053907879,192263476969789
6,29659996,0,26000000000,39032018132292964380,1,386829943640926905,0,0,0,0,0
6,29662421,0,26000000000,10000000000000,0,0,0,0,10069827059653,7545062550,1886265637649
6,29693515,0,26000000000,9032028132292964380,1,24865774352348723,0,0,0,0,0
6,29696965,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6898228565604,1724557141400369
6,29699730,0,26000000000,90000000000000000,0,0,0,0,90639226708808501,61560593810131,15390148452523896
6,29708356,0,26000000000,1000000000000000,0,0,0,0,1006984024088211,666579284371,166644821092780
6,29734575,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6257390535480,1564347633869195
6,29735412,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6239903869990,1559975967496846
6,29736360,1,29000000000,466000000000000000,0,0,0,0,466219035565417181,287666093700481,71916523425071242
6,29736417,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6220366768369,1555091692091660
6,29736994,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6209221779187,1552305444795955
6,29737846,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6191885576338,1547971394083822
6,29738526,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6177325249355,1544331312338048
6,29739290,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6162210226294,1540552556572692
6,29740667,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6135140515663,1533785128915071
6,29741309,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6125021657580,1531255414394218
6,29743134,0,26000000000,10000000000000000,0,0,0,0,10069960066681891,6095733228489,1523933307121620
6,29754601,0,26000000000,3000000000000000,0,0,0,0,3020960060604734,1749968885961,437492221490041
6,29770025,0,26000000000,1000000000000000,0,0,0,0,1006984024088211,539944878771,134986219692782
6,29790472,0,26000000000,7237028132292964380,1,50533886208471713,0,0,0,0,0
6,29790520,1,29000000000,25895000000000000000,1,11956269810996981,0,0,0,0,0
6,29854472,0,26000000000,5590000000000000,0,0,0,0,5596605076749958,1868620230832,467155057707497
6,29909437,0,26000000000,5618132292964380,1,3398135724720,1362466660304,0,0,0,0
6,29948057,0,26000000000,82850000000000,0,0,0,0,82850000000000,13124403040,3281100760015
6,29969918,2,32000000000,36000000000000000000,0,0,0,0,36000000000000000000,3383512457679072,845878114414711008
6,30011774,1,29000000000,500000000000000000,0,0,0,0,500000000000000000,12582362759630,3145590689835215
7,30034192,2,30000000000,249000000000000000,0,0,0,0,249000000000000000,3679427711125998,919856927781531825
7,30036809,2,30000000000,46808510000000000,0,0,0,0,46808510000000000,380752882676845,95188220669214282
7,30038803,2,30000000000,1046000000000000000,0,0,0,0,1046000000000000000,4404437859391700,1101109464847946912
7,30040877,1,27000000000,2990000000000000000,0,0,0,0,3014064093159029244,9906425354047183,2476606338511829551
7,30040991,2,30000000000,3000000000000000000,0,0,0,0,3000000000000000000,9859632201385095,2464908050346306903
7,30047567,3,35000000000,150000000000000000000,0,0,0,0,150000000000000000000,411179201008886400,102794800252222405650
7,30048569,3,35000000000,20000000000000000000,0,0,0,0,20000000000000000000,54747494252278940,13686873563069838500
7,30059511,0,24000000000,1000000000000000,0,0,0,0,1006576203345112,2710102873091,677525718272858
7,30071868,0,24000000000,11000000000000000000,0,0,0,0,11144543864714669514,29455464496848242,7363866124212103441
7,30071954,1,27000000000,30000000000000000000,0,0,0,0,30439125345055911298,79938675419947660,19984668854987019056
7,30075124,2,30000000000,50290000000000000000,0,0,0,0,50290000000000000000,132576967580370229,33144241895092735743
7,30086808,3,35000000000,36008000000000000000,0,0,0,0,36008000000000000000,93941334213490774,23485333553372807609
7,30111897,3,35000000000,15000000000000000000,0,0,0,0,15000000000000000000,38474485066427595,9618621266606936205
7,30129296,0,24000000000,11001000000000000000,1,67752884855628070,0,0,0,0,0
7,30194304,0,24000000000,1024000000000000000,0,0,0,0,1024000000000000000,2347502525119738,586875631279934154
7,30257362,3,35000000000,9124000000000000000,0,0,0,0,9124000000000000000,19692145244669519,4923036311167361256
7,30272731,3,35000000000,9452500000000000000,0,0,0,0,9452500000000000000,20082395056113067,5020598764028242626
7,30282323,1,27000000000,15000000000000000000,0,0,0,0,15164672004395966737,31689721852057368,7922430463014296027
7,30345396,0,24000000000,24000000000000000,0,0,0,0,24000000000000000,45494855294690,11373713823672598
7,30388033,0,24000000000,1000000000000000,0,0,0,0,1000000000000000,1810024157370,452506039342712
7,30565138,1,27000000000,20000000000000000000,0,0,0,0,20243958524055227732,28619916837708922,7154979209427020317
7,30565247,2,30000000000,20000000000000000000,0,0,0,0,20000000000000000000,28294077202148800,7073519300536990060
7,30566240,0,24000000000,4000000000000000,0,0,0,0,4000000000000000,5651912766658,1412978191664489
7,30567094,0,24000000000,11054000000000000000,1,4525617677375537,0,0,0,0,0
7,30627839,1,27000000000,67990000000000000000,1,497602203505856827,0,0,0,0,0
7,30723221,1,27000000000,19800000000000000,0,0,0,0,19800000000000000,21768625527001,5442156381750178
7,30910267,1,27000000000,164000000000000000,0,0,0,0,164000000000000000,124413286658551,31103321664634935
8,31478957,0,22500000000,252000000000000000,0,0,0,0,225418652733288029,4239662562813753,1059915640703542967
8,31482875,3,29000000000,10000000000000000000,0,0,0,0,10020516067661570304,85433087770571111,21358271942643476583
8,31498432,2,26000000000,164963640000000000,0,0,0,0,166133907681666541,1277984162700065,319496040675021796
8,31502039,2,26000000000,1050000000000000000,0,0,0,0,1055175023923762532,7920194728876757,1980048682219213899
8,31504517,2,26000000000,13000000000000000000,0,0,0,0,12683962484472294770,96709015266311746,24177253816578161839
8,31508172,0,22500000000,1000000000000000000,0,0,0,0,998499108253365049,7298945407992649,1824736351998175910
8,31508257,1,24000000000,5300000000000000000,0,0,0,0,5324238047942326265,39588029467966465,9897007366991689637
8,31508398,0,22500000000,11000000000000000000,0,0,0,0,10538206583831860559,80244409164424234,20061102291106202113
8,31508729,1,24000000000,30000000000000000000,0,0,0,0,27708915239971430174,227799064444316882,56949766111079616940
8,31510283,1,24000000000,35300000000000000000,1,772074428319544283,0,0,0,0,0
8,31524594,2,26000000000,2108000000000000000,0,0,0,0,2112932483060375163,15167797798785324,3791949449696344453
8,31539733,0,22500000000,36100000000000000000,0,0,0,0,30908687885122430286,254702239847058310,63675559961764636105
8,31553068,3,29000000000,9472700000000000000,0,0,0,0,9491786554639623600,66121347142512496,16530336785628107456
8,31557815,0,22500000000,48331482817445899895,1,43816420929068705,0,0,0,0,0
8,31588492,1,24000000000,5000000000000000000,0,0,0,0,4527059351378132174,33937303570296420,8484325892574055600
8,31591155,2,26000000000,9144000000000000000,0,0,0,0,9007976182492419155,62429686869910108,15607421717477423491
8,31602985,1,24000000000,502000000000000000,0,0,0,0,497232682591387792,3364243946731892,841060986682966062
8,31634031,1,24000000000,1000000000000000000,0,0,0,0,981082374055125287,6464790692190548,1616197673047612235
8,31736728,1,24000000000,836000000000000000,0,0,0,0,822778546897630842,5014597044348423,1253649261087067662
